Ticker,Alpha (daily),Alpha (ann %),Beta,R²,P-value,N
CSSPX.MI,-2.7824465982746933e-06,-0.07011765427652226,0.9999854234502015,0.9999999790607169,0.0,252
IUSA.MI,-2.783053392410275e-06,-0.07013294548873893,0.9999852902665125,0.9999999791345718,0.0,252
IUSE.MI,-7.933444807707601e-06,-0.19992280915423155,0.9999578158234841,0.999999794376561,0.0,252
